z,vel
798.7,1633.8941249735155
799.6,1634.4885751735999
800.6,1634.7465060793754
801.6,1634.9505220686347
802.6,1635.1309938273166
803.6,1635.305672579609
804.6,1635.4719373430428
805.6,1635.6450879039048
806.6,1635.7728954111017
807.6,1635.8553140160122
808.6,1635.9706597731406
809.6,1636.1195884199774
810.6,1636.2809768947973
811.6,1636.407213221041
812.7,1636.574282747586
813.6,1636.7255649071255
814.6,1636.8564539892382
815.6,1636.9691391750384
816.6,1637.152828545019
817.6,1637.3396727482327
818.6,1637.4897017103897
819.6,1637.6507832873024
820.5,1637.8172616255956
821.6,1637.967242242305
822.6,1638.1413678232557
823.6,1638.3028977776817
824.6,1638.4615885548494
825.6,1638.628859495746
826.7,1638.812661254268
827.7,1639.0020985746569
828.6,1639.2937087841294
829.6,1639.585655554225
830.6,1639.8558991131893
831.6,1640.0679886642008
832.6,1640.2656306273336
833.6,1640.5160919191117
834.6,1640.7129379995895
835.6,1640.9213429609952
836.6,1641.098990553858
837.6,1641.2857356032644
838.7,1641.505577843268
839.5,1641.6682752127037
840.6,1641.8514628645494
841.6,1642.0214322074644
842.6,1642.1717993113064
843.7,1642.339114333422
844.6,1642.4771877931528
845.6,1642.6280847557855
846.6,1642.7809016769472
847.6,1642.9316263940962
848.6,1643.0900544241913
849.6,1643.2513701164146
850.6,1643.4119742635405
851.6,1643.5737213599527
852.6,1643.7316040651813
853.7,1643.902404287338
854.6,1644.0469282456895
855.7,1644.2147908439458
856.7,1644.3409981014204
857.6,1644.4631800391069
858.6,1644.6002464042665
859.6,1644.6897607878673
860.6,1644.7317215633566
861.6,1644.6697013866785
862.6,1644.6290611946933
863.6,1644.610726625912
864.6,1644.6647764065267
865.7,1644.802586779544
866.6,1644.933782840957
867.6,1645.1035633227182
868.6,1645.2705701010732
869.7,1645.455395865554
870.6,1645.6129075670474
871.6,1645.7974813017809
872.6,1645.9808857543233
873.6,1646.1539655540619
874.6,1646.3281039378699
875.6,1646.5179139243905
876.6,1646.736053967819
877.6,1647.042827702815
878.6,1647.2911801837622
879.7,1647.487469728282
880.6,1647.6249486877207
881.6,1647.7984307878478
882.6,1647.954535053245
883.6,1648.251041821515
884.6,1648.617321037236
885.6,1648.8454500433688
886.6,1649.0148661335538
887.6,1649.176185633339
888.6,1649.3443029236907
889.6,1649.5133342475744
890.6,1649.675881327692
891.6,1649.8410496046538
892.6,1650.0091918998994
893.6,1650.1738205807737
894.6,1650.3408466284347
895.7,1650.5270309713596
896.6,1650.675632667935
897.7,1650.8592714622623
898.7,1651.0282465930666
899.6,1651.179040218324
900.5,1651.3317023971626
901.6,1651.5178636479075
902.6,1651.6867493877273
903.7,1651.8739685765236
904.6,1652.0268408037905
905.6,1652.1819440850215
906.5,1652.3127535308877
907.5,1652.4750070218224
908.6,1652.6422476021726
909.6,1652.7957234153441
910.6,1652.9613524267302
